RestaurantName,Name,Description,Price,ImageUrl,MealType
Bella Napoli,Margherita Pizza,San Marzano tomato fresh mozzarella and basil,12.50,,Dinner
Bella Napoli,Pepperoni Pizza,Classic pepperoni with mozzarella,14.00,,Dinner
Bella Napoli,Spaghetti Carbonara,Egg pancetta and pecorino romano,13.50,,Dinner
Bella Napoli,Tiramisu,Espresso-soaked ladyfingers and mascarpone,6.50,,Dessert
Sakura Sushi,Salmon Nigiri,Two pieces of fresh salmon over rice,7.00,,Dinner
Sakura Sushi,California Roll,Crab avocado and cucumber,8.50,,Dinner
Sakura Sushi,Spicy Tuna Roll,Fresh tuna with spicy mayo,9.00,,Dinner
Sakura Sushi,Miso Soup,Tofu seaweed and scallions,3.50,,Appetizers
El Toro Taqueria,Carne Asada Tacos,Grilled steak with onion and cilantro,9.50,,Lunch
El Toro Taqueria,Chicken Burrito,Grilled chicken rice beans and salsa,10.00,,Lunch
El Toro Taqueria,Cheese Quesadilla,Melted cheese in a grilled tortilla,7.50,,Lunch
El Toro Taqueria,Chips and Guacamole,House-made guacamole with tortilla chips,5.50,,Appetizers
The Green Fork,Quinoa Power Bowl,Quinoa kale chickpeas and tahini,11.00,,Lunch
The Green Fork,Avocado Toast,Sourdough avocado and chili flakes,8.50,,Breakfast
The Green Fork,Green Detox Juice,Spinach cucumber apple and ginger,6.00,,Breakfast
The Green Fork,Berry Smoothie Bowl,Mixed berries banana and granola,7.50,,Appetizers
Burger Republic,Classic Cheeseburger,Beef patty cheddar lettuce and tomato,10.50,,Appetizers
Burger Republic,Bacon BBQ Burger,Bacon onion rings and barbecue sauce,12.50,,Lunch
Burger Republic,Crispy Fries,Golden hand-cut fries,4.00,,Appetizers
Burger Republic,Chocolate Milkshake,Thick and creamy chocolate shake,5.50,,Dessert
Spice of India,Chicken Tikka Masala,Grilled chicken in creamy tomato sauce,13.00,,Dinner
Spice of India,Lamb Rogan Josh,Slow-cooked lamb in aromatic spices,14.50,,Lunch
Spice of India,Garlic Naan,Fresh baked flatbread with garlic,3.00,,Appetizers
Spice of India,Vegetable Samosa,Crispy pastry with spiced potato,4.50,,Appetizers
Le Petit Bistro,Coq au Vin,Chicken braised in red wine,16.00,,Dinner
Le Petit Bistro,Beef Bourguignon,Beef stew with mushrooms and pearl onions,17.50,,Dinner
Le Petit Bistro,French Onion Soup,Caramelized onions and melted gruyere,7.00,,Appetizers
Le Petit Bistro,Creme Brulee,Vanilla custard with caramel crust,6.50,,Dessert
Dragon Wok,Kung Pao Chicken,Stir-fried chicken peanuts and chili,11.50,,Lunch
Dragon Wok,Beef Chow Mein,Stir-fried noodles with beef,10.50,,Lunch
Dragon Wok,Pork Dumplings,Steamed dumplings with dipping sauce,6.50,,Appetizers
Dragon Wok,Spring Rolls,Crispy vegetable spring rolls,4.50,,Appetizers
